Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_2215_DIA20_10ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_1.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_2215_DIA10_10ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk2.raw
A0A024RBG1	A0A024RBG1		NUDT4B							7391.6																						
A0A0B4J2D5	A0A0B4J2D5		GATD3B		260467	276647	289242	252953	259163	245543	243625	232741	272390	266562	281766	315762	257885	274413	282400	232488	246793	253538	253551	270241	258000	248721	255832	246460	232449	237701		
A0AV96	A0AV96		RBM47		23062.6					27935.4																						
A0AVT1	A0AVT1		UBA6		417922	351136	623127	368576		610662		389094	518478		641716	328054		417542	391621	483232	479861	483837	493443	367292	529755	583060	271418	394887	408138	376746		
A0FGR8	A0FGR8		ESYT2		264290	909149	957304	783647	879170	159395	942492	975337	1.147e+06	889795	936756	850163	649410	712797	890201	733077	731366	736371	705603	859654	597808	913642	914232	768554	671923	783364		
A0MZ66	A0MZ66		SHTN1		115834		109450	91419.2	71964.4	102681			95777.5	145897	74377.4	104491	117904	100177	126110	134180	136717	132403	114390	141200	151311	121537	109743	148608	111514	142475		
A1L0T0	A1L0T0		ILVBL		72923.3					75787.4															280812		933761					
A5YKK6	A5YKK6		CNOT1		38522.5	49899.9		62092	51887.8	29585.1	55209.9	88649.6	59529.6	110881		72254.1	86407.6	128753		55356.6		46293	51199.3	58628.5	51949.9	60708.7	81371.3	79165.8	104964			
A6NDG6	A6NDG6		PGP		282749	429133	403842	465186	466357	246874	415286	431361	442592	395941	497950	438268	436290	419913	452636	452545	456187	450795	446185	440232	482270	508249	450718	441050	447280	466526		
A6NHQ2	A6NHQ2		FBLL1		674018	777020	737585	714209	727593	654830	858395	832214	867912	740218	872611	761023	739031	680448	934879	924387	974613	877977	908243	982643	962681	947994	919857	932696	944928	980205		
A6NHR9	A6NHR9		SMCHD1		35750.5					35798.8																				38285		
A6NHT5	A6NHT5		HMX3		412232					303568								897365														
A6NNZ2	A6NNZ2		TUBB8B		1.57661e+06					814577																						
A8MWD9	A8MWD9		SNRPGP15		246450	367234	381499	325870	331628	238582	237997	273479	286451	368485	312160	480580	408562	488766	363502	318200	445022	431610	415604	304487	352005	298147	251605	269890	421304	258432		
A9QM74	A9QM74		KPNA7		27841.5					50963.6																						
B0I1T2	B0I1T2		MYO1G		459360	756517	664943	800790	811974	439197	859824	707477	819743	769642	800253	936336	789790	853870	791054	762117	763680	789079	691879	745454	783534	754413	725094	891989	870779	878704		
B5ME19	B5ME19		EIF3CL		537778	607824	556050	600085	585246	507233	581077	590463	596287	655180	589346	682742	633810	625225	538300	552238	513820	524760	540936	519544	547821	543919	566975	571651	553574	542296		
E9PAV3	E9PAV3		NACA		570124	496385	499409	441595	411086	532546	563700	571799	508396	669604	542638	674149	658455	623818	595600	638872	555414	539731	544866	615695	460067	606914	669221	599351	621040	653057		
E9PRG8	E9PRG8		C11orf98		115453	117825	128629	142188	106452	103481	127574	108493	142759	123304	134331	126688	124645	135365	117040	122259	108750	97860.4	118513	129312	106348	128082	143260	110059	118691	101814		
O00115	O00115		DNASE2		269818			1.7872e+06		252800		1.77838e+06				1.18133e+06	1.26113e+06		845764	1.01432e+06			967340	1.05689e+06	1.08092e+06		1.10862e+06	1.18086e+06		1.18273e+06		
O00116	O00116		AGPS		131705	209907	219923	225036	191393	148375	123433	157629	171633	104367	330821	133040	124927	156408	107766	144751	149830	165137	126295	114586	166067	98404.6	133901	132586	122894	107680		
O00139	O00139		KIF2A		62046.6	75137.7	103437	91662.1	107228	54584.8	141064	133416	120216	48788.8	146951	118645	83147.6	107252	57278.1	99852.8	46672.6		65555.3	51499.9	72359.8	126476	108841	80710.4	113105	59615.8		
O00148	O00148		DDX39A		1.81092e+06	2.03599e+06	1.88664e+06	1.9792e+06	1.98774e+06	1.8575e+06	1.92258e+06	2.0211e+06	1.97624e+06	2.04954e+06	2.01407e+06	2.0531e+06	2.0097e+06	1.94781e+06	1.93e+06	1.91693e+06	1.92867e+06	1.8847e+06	1.92754e+06	1.91371e+06	1.92111e+06	1.85637e+06	2.20026e+06	2.13476e+06	2.05237e+06	2.08747e+06		
O00151	O00151		PDLIM1		49655.6	129745				50744						72336.2						62535.9	57362.5		84543.6							
O00154	O00154		ACOT7		348377	430400	365658	369161	480038	385085	243786	268014	324524	336374	397645	362007	338157	436413	333539	372018	358060	388598	392933	283052	390247	263542	247824	359271	462944	366816		
O00159	O00159		MYO1C		201774	377405	525641	416790	400850	186255	380765	453473	395299	295420	370280	260292	303694	295864	435175	395890	367211	457790	436759	383737	428895	446501	260684	244830	242174	234464		
O00161	O00161		SNAP23		196108		1.86723e+06			154181										1.47199e+06												
O00170	O00170		AIP		108967	245324	204920	210943	238140	116131	216653	217179	236581	268740	228171	237373	249391	215433	147693	144024	171237	172152	152807	161785	158243	155851	218112	225306	214155	229256		
O00178	O00178		GTPBP1		15814.6					15002.8																						
O00186	O00186		STXBP3		73108.9		75115.2			58039.9	105720			85334.8		52629.2	70757.5	97335.9	95840.4		40314.8		49687.6		87954.6		74251.7	65624.7	72517.9	82421.4		
O00203	O00203		AP3B1		59481.9	197096	185314	198732	194080	95109.1	212588	229124	166287	154242	196814	186173	195468	130682	212883	173704	203576	183233	184229	188231	213111	199858	151925	156126	190359	135757		
O00217	O00217		NDUFS8		89415.1					108727									49280.7	43185.7						45396.5		50321.1				
O00231	O00231		PSMD11		376771	639070	602410	595811	589734	358909	547929	562431	566078	498578	625007	468173	538452	491373	456065	534505	503107	550567	543838	512831	519406	510540	528894	550941	503055	575147		
O00232	O00232		PSMD12		126255	131800	91721.8	155901	149311	161389		94069.6	104534	118676	168446	132296	145219	138484	114132	133267	135503	148802	133734	118110	160859	130332	88902.2	132970	152669	81580.4		
O00233	O00233		PSMD9		189427	267570	231112	214672	246327	177295	255694	285616	233216	216616	248797	216524	215934	221351	232525	217189	208996	203948	223460	222800	211253	197345	173619	170148	170034	197300		
O00244	O00244		ATOX1		181225	259254	235103	214766	217795	175126	219039	257780	283020	203962	256969	188043	182030	185832	191918	170759	194509	180485	164942	161700	196060	168306	154472	165963	170931	170250		
O00264	O00264		PGRMC1		696092	697496	636614	603895	643662	722383	519512	615714	639390	633829	692708	648412	679429	700208	720778	722688	715136	805832	740867	739562	843531	671976	613905	615215	706503	618031		
O00267	O00267		SUPT5H		98660.4	350362	357179	443827	328768	154910			299266	246268	302273	246623	247479	310722	314328	313262	288534	350940	334718	321029	319155	293217	269820	234550	245425	238546		
O00273	O00273		DFFA		98749.5			126816		67640.2		84598.7								101965		85562.4			95989.1			86131.9		69158.9		
O00299	O00299		CLIC1		881430	847294	772103	775334	761678	793353	775629	799597	732550	791605	769482	809068	764943	771756	891503	855487	871534	862867	863441	894351	861839	897932	867767	831600	783126	857349		
O00303	O00303		EIF3F		1.3549e+06	1.15601e+06	1.2895e+06	1.19933e+06	1.3089e+06	1.56392e+06	1.11668e+06	997884	1.1207e+06	1.09407e+06	1.07187e+06	1.07531e+06	1.29921e+06	1.33203e+06	1.02723e+06	1.03279e+06	1.05967e+06	1.09651e+06	1.17652e+06	968091	1.16867e+06	1.16602e+06	891146	1.22982e+06	1.36399e+06	1.03682e+06		
O00330	O00330		PDHX		46489.1					52947.9	275485						250058			340117		243868				343349	131636			136268		
O00400	O00400		SLC33A1		13839.8					12067.7						32820.8																
O00401	O00401		WASL		81199.5	162212				44162.2		144232		103947		129906	100263	131489	147879	134113	128145	114078		167787	121445	155802	63722.7	51794.9	76469.9	76170.1		
O00410	O00410		IPO5		375073	492368	448832	486006	465352	406500	422066	437963	425727	342155	465048	391450	371770	411384	378388	393213	422631	395034	405915	351132	461083	359037	356418	378692	400442	371011		
O00422	O00422		SAP18		1.12355e+06	4.69706e+06	4.57255e+06	4.93471e+06	4.88192e+06	966768	4.4956e+06	4.11242e+06	4.49447e+06	2.29775e+06	4.76152e+06	2.31119e+06	2.29232e+06	2.4069e+06	2.3252e+06	2.44333e+06	2.41637e+06	2.44131e+06	2.356e+06	2.40652e+06	2.53907e+06	2.41016e+06	1.73006e+06	1.88142e+06	1.84176e+06	1.98122e+06		
O00425	O00425		IGF2BP3		580959	604365	559690	551890	518877	597500	536148	608723	646138	545005	550612	513218	487861	484711	542317	522454	578702	561173	541702	544845	535834	568877	578935	567662	497933	564207		
O00429	O00429		DNM1L		1.31237e+06	1.92703e+06	1.75895e+06	1.83232e+06	1.91844e+06	1.18127e+06	1.77361e+06	1.99466e+06	1.87716e+06	1.77473e+06	1.54086e+06	1.70449e+06	1.94264e+06	1.57754e+06	1.65092e+06	1.71822e+06	1.74514e+06	1.7713e+06	1.65695e+06	1.72368e+06	1.69173e+06	1.81992e+06	1.4937e+06	1.57009e+06	1.5926e+06	1.59444e+06		
O00442	O00442		RTCA		23598.5					20570.9				20466.9					15337.1	18138.2		12260.8					13842	24921.5		20915		
O00458	O00458		IFRD1		204818					211913													319815									
O00461	O00461		GOLIM4		20786.6	16475				17210.1	32662.2	19735.8	48299.9		25556.4	20126	22730.4					20096.5	15922		13056.9		53301.9		71222.8	49704.2		
O00483	O00483		NDUFA4		358804	176411		122597	176091	379046	170394	190518	165163	188567	172327	208209	196757	178025	144977	173528	132609	139475	155689	165988	140293	125956	224805	246399	229614	229058		
O00487	O00487		PSMD14		222825	253772	213767	225198	260151	226989	235652	156294	242543	263448	224808	282682	277963	287246	228868	229015	223774	239246	237009	222785	264722	259759	223680	209780	240461	236054		
O00505	O00505		KPNA3		152895			92639	83330.2	146050	97123.8			169636		216654	200487	164111	91006.9	194992	125077	134948	133572	143593	157213	201039		158484				
O00534	O00534		VWA5A		68642.5					53327.2								267484					314366			305937						
O00541	O00541		PES1		401971	565922	559384	510345	568328	415903	505179	567040	538238	554933	610301	516884	509542	496701	503921	497478	489962	482178	499271	474784	494401	476152	482422	465805	503930	527937		
O00566	O00566		MPHOSPH10		500521					236906																						
O00567	O00567		NOP56		1.22042e+06	1.69095e+06	1.62614e+06	1.5994e+06	1.58236e+06	1.10682e+06	1.62078e+06	1.62237e+06	1.74386e+06	1.38765e+06	1.60304e+06	1.37274e+06	1.33297e+06	1.3035e+06	1.32865e+06	1.35499e+06	1.41109e+06	1.2996e+06	1.40231e+06	1.31817e+06	1.42059e+06	1.41044e+06	1.22743e+06	1.26897e+06	1.22337e+06	1.31504e+06		
O00571	O00571		DDX3X		2.68507e+06	2.49464e+06	2.26331e+06	2.37618e+06	2.51099e+06	2.77228e+06	2.36889e+06	2.46054e+06	2.44649e+06	2.5292e+06	2.49942e+06	2.55537e+06	2.54165e+06	2.59498e+06	2.66716e+06	2.7146e+06	2.6521e+06	2.68177e+06	2.80417e+06	2.62561e+06	2.65191e+06	2.62944e+06	2.34053e+06	2.4129e+06	2.36565e+06	2.44168e+06		
O00592	O00592		PODXL		661585	615283	541076	557256	541588	628654	579256	559106	502849	645063	552289	666194	565748	553236	705294	657134	592176	646980	664436	678550	623890	558283	674257	615829	566849	693470		
O00625	O00625		PIR		304203	379846	358504	351665	304494	287482	396802	335466	322644	353184	300928	335516	262274	353857	394492	381110	351943	424437	375002	311775	406089	406534	429860	413938	381429	418341		
O00743	O00743		PPP6C		445937					428223															6.05033e+06							
O00764	O00764		PDXK		242797	3.21376e+06	8.93175e+06	8.74028e+06	8.81771e+06	204169	6.07725e+06	9.44791e+06	9.9951e+06	7.23427e+06	9.40896e+06	2.16477e+06	5.32708e+06	6.69645e+06	196020	181436	159214	215389	165224	182345	196016	141174	135883	153513	126013	136887		
O00767	O00767		SCD		77137.4	122688	58780.3	124239	77806.4	79138.9	115058	125841	109961	139084	94301.4		193816	199055	173980	160710	151346	156456	189855	123449	191926	151119	104551			107322		
O14497	O14497		ARID1A		14832.9					10757.8																						
O14548	O14548		COX7A2L		36554.6					20754.1																						
O14556	O14556		GAPDHS		963626	1.20718e+06	1.18194e+06	1.08675e+06	1.04436e+06	938874	1.17799e+06	1.14726e+06	1.18748e+06		1.18841e+06	1.30416e+06	1.33363e+06	1.18697e+06	1.48575e+06		1.41134e+06	1.51541e+06	1.43268e+06	1.49177e+06	1.40093e+06	1.60637e+06	1.32702e+06	1.28303e+06	1.39422e+06	1.40044e+06		
O14561	O14561		NDUFAB1		39327.3					58631.5																						
O14562	O14562		UBFD1		41558.6					68629.2																		70342.3				
O14579	O14579		COPE		179801					168226	153494	201802		236705		241422	209697	223184	214387	157194	198059	184481	182548	207308	173158	188532	271478	228276	209207	218242		
O14639	O14639		ABLIM1		19416					22698.3														16903.7								
O14656	O14656		TOR1A		44958.6					35151.7								23628.3														
O14662	O14662		STX16		16288.9					13017.8																						
O14672	O14672		ADAM10		222453					225965									1.22831e+06						1.26736e+06	1.25205e+06			646047			
O14684	O14684		PTGES		450370	429636	377269	325398	343334	472073	333730	370806	333999	315181	366271	311585	326209	320753	408787	391652	381959	387374	376429	349340	383520	435415	425284	469931	465937	444290		
O14732	O14732		IMPA2		177133	441107	424155	446254	436557	177255	506558	528846	516012	365091	450474	396442	363399	336426	421796	406670	380865	403224	387545	404558	365014	403429	451755	465752	434792	512191		
O14735	O14735		CDIPT		93665.6	70247.9	60438	103490	87868	136043			57292.2	103560	76485.4	73124.1	101509	110171	95413.1	89110.8	64402	82225.6	86044.1	70706.9	102191	97536.5	61809	75116.8	101182	96755.9		
O14737	O14737		PDCD5		259969	446381	417755	446126	421431	275694	424442	396247	426181	491487	449655	502591	438415	459084	443038	468247	446676	468588	448695	484443	456748	438634	430701	444170	406925	449227		
O14744	O14744		PRMT5		293900	473654	494064	464646	522754	309321	444873	399470	449759	440260	496502	432698	416939	462291	456380	446847	445312	444526	459895	447545	464107	435055	383992	421122	430511	417998		
O14745	O14745		SLC9A3R1		240960	250467	192053	250535	263292	228140	208839	242496	221381	199840	218337	276184	218911	235420	203618	245086	243294	217425	234815	226446	211002	225034	243630	256401	262549	282296		
O14773	O14773		TPP1		63698.5				126795	65193.6	110612		124156			4.98408e+06	4.12025e+06	4.6771e+06	98267.3	125392	91099	105165	105083	95612.4			129295	122920	113184	142516		
O14776	O14776		TCERG1		1.95874e+06	1.66562e+06	1.52223e+06	1.9442e+06	1.55935e+06	1.85514e+06	1.81529e+06	1.44112e+06	1.52343e+06	1.26534e+06	1.36109e+06	1.34887e+06	1.65648e+06	1.57848e+06	1.09307e+06	1.33133e+06	1.46075e+06	1.35058e+06	964861	1.02387e+06	1.64236e+06	1.19537e+06	1.47054e+06	1.15051e+06	2.09094e+06	1.42385e+06		
O14818	O14818		PSMA7		771962	990283	881344	976139	1.01281e+06	805328	905625	793544	1.03062e+06	841865	1.06809e+06	824534	889961	887508	896130	897553	896293	925327	899763	874503	894805	898345	775689	840582	892700	841442		
O14828	O14828		SCAMP3		160256	248501	217726	186089	219527	163584	275398	242875	260118	269341	285562	229576	261316	224437	270388	252101	289856	241331	237677	277679	247870	247492	211769	217152	200885	199279		
O14908	O14908		GIPC1		68362.6		215814	205975	204497	54013.8		219087	194192	199536		149736	62591.7	74705.2	162496	155914	178366	145481	147930		119366		355979					
O14920	O14920		IKBKB		6845.91					7226.92																						
O14929	O14929		HAT1		262964	187718		130160	138826	222555	174615	168150	165103		171538	138393	196541	177837	116888	130732	121775	111753	138700	88099.4	145549	134363		162104	155512	125308		
O14949	O14949		UQCRQ		128400					110464				70411.7		54073.5	75682.7	41407.4												60726.7		
O14950	O14950		MYL12B		987711	575289	400180	688190	640180	839115	494655	525162	500627	572071	612695	691546	657707	710346	655127	666229	674305	662102	688067	457579	808154	551780	530258	648274	726224	663613		
O14964	O14964		HGS		78750.2				273068	85668.1	272854	276215		221759	263813	271924		246801	177680		163842	159206	165387		159149		267911	285742	316121	335602		
O14974	O14974		PPP1R12A		157713	526962	701719	378312	321390	132345	343948	311464	435810	281361	342847	291044	297924	293796	277636	312138	336227	303748	303830	300305	329828	304076	311355	309151	304006	331633		
O14975	O14975		SLC27A2		598709	531211	536943	538715	525234	568272	529352	622013	564017	759871	566850	743092	708535	646880	594797	542522	593603	610305	596733	598507	580635	591093	682205	667631	690089	655353		
O14979	O14979		HNRNPDL		1.50391e+06	1.3815e+06	1.25236e+06	1.24262e+06	1.18436e+06	1.26836e+06	1.66848e+06	1.693e+06	1.50844e+06	1.44438e+06	1.45793e+06	1.48143e+06	1.40163e+06	1.31446e+06	1.2282e+06	1.28088e+06	1.23304e+06	1.12905e+06	1.17203e+06	1.25399e+06	1.22474e+06	1.29242e+06	1.43507e+06	1.43966e+06	1.56276e+06	1.61137e+06		
O14980	O14980		XPO1		396043	430506	441126	438112	468785	377160	410453	439032	455025	397278	445135	410938	415137	400709	428604	437456	425469	404756	426654	397649	426749	416677	357222	361825	377182	370796		
O14981	O14981		BTAF1		62690.3					48022.1										268817												
O15020	O15020		SPTBN2		24078.1					22981.3																						
O15027	O15027		SEC16A		65600	236391	229447	243636	272683	55030.2	192494	205905	289814	207897	192791	192911	202985	201842	181344	192471	163861	171951	189772	171233	210003	169218	188907	187454	195964	176450		
O15042	O15042		U2SURP		136774	181295	211981	204138	200050	109150	182428	200593	183536	202738	113557	144730	129050	211064	220249	178381	160507	155422	177696	122141	142753		226547	221014	146362	223565		
O15067	O15067		PFAS		1.70684e+06	2.24815e+06	2.19519e+06	1.92207e+06	2.1454e+06	1.9724e+06	2.21674e+06	2.06704e+06	2.28982e+06	1.90089e+06	2.32098e+06	2.02988e+06	2.00884e+06	2.02278e+06	2.31235e+06	2.25786e+06	2.35211e+06	2.28073e+06	2.34074e+06	2.30172e+06	2.18204e+06	2.23805e+06	1.95916e+06	1.88221e+06	2.23247e+06	1.82738e+06		
O15069	O15069		NACAD																	596056			654865		767311							
O15118	O15118		NPC1		145479	445809			394295	136982	417249	297408	522744	334487	441884	369218	302144	342156	327824	252441	288962	299468	337165	341971	246162	344625	336750	385059	385033	344525		
O15126	O15126		SCAMP1		47907.7		598296			47933.9										90266.1				354432			128390	125199	132004			
O15127	O15127		SCAMP2		55910.7					55142.3																	19394.7			11520.5		
O15143	O15143		ARPC1B		224095	171587	174215	200456	199947	216508	214281	171080	204702	216010	189454	200023	202609	232043	202263	195806	197596	206675	212075	194903	186106	203831	193520	236217	216984	250778		
O15144	O15144		ARPC2		1.39058e+06	1.67902e+06	1.187e+06	1.66166e+06	1.28238e+06	1.23551e+06	1.3435e+06	1.52773e+06	1.41925e+06	1.33974e+06	1.5257e+06	1.27339e+06	1.42956e+06	1.27275e+06	1.38946e+06	1.44253e+06	1.35343e+06	1.2377e+06	1.27404e+06	1.27489e+06	1.3225e+06	1.54023e+06	1.22253e+06	1.1508e+06	1.26547e+06	1.20789e+06		
O15145	O15145		ARPC3		108885	46595.1		58772.7	56079.1	149888			31486.7	112971		141277	141506	147554	73135.6	80138	66726.6	79682.2	74970.8		95549	70372.9	93736.6	67975.5		89315.1		
O15160	O15160		POLR1C		144295			139081		129567	102586				120244	122597	91051.5	117993		101026	61526.8	131303			144154	125426	82596.2	151026	134268	94716.1		
O15164	O15164		TRIM24		7965.69					5223.02																						
O15173	O15173		PGRMC2		305744	359950	352379	332650	327221	311248	343998	321937	343373	363367	361905	359103	356809	356112	370976	386324	416704	376957	383046	387029	389670	389771	350018	334055	340485	350220		
O15212	O15212		PFDN6		149054	267656	270824	291470	255759	131864	219627	217209	216882	261337	210461	240926	277252	218253	238871	209744	238774	228950	240347	221988	211427	220147	218341	240616	240481	200678		
O15226	O15226		NKRF		53857.8					44212																	27623.2					
O15258	O15258		RER1		51065.6					31714.7						27630.7			39680.8	30915.7			40891.1	25567.8	34603.3					37747.8		
O15260	O15260		SURF4		320791	308938	190818	324770	331534	315409	57084.3	125448	116676	149798	255189	175032	146150	243029	254486	280888	297528	345348	295389	155569	336786	197515	95505.9	209513	297874	160325		
O15264	O15264		MAPK13		98122.9	97816.4	80219.3	111408	113854	86486	98061.2	101464	103704	93564.4	114174	81936.6	88494.6	75656	66847.6	62442	69486.1	66182.8	53420.5	65528.7	50989	52254.5	106983	88335.2	90443.6	92465.3		
O15269	O15269		SPTLC1		52833.8					70385.5											413824	426391	497547					284457	306108			
O15270	O15270		SPTLC2		22004					19334.4		28255.2															23840.7					
O15294	O15294		OGT		70205.3			191038		66878.5		332884		103106				105194	80863.7	186129	182021	218174	125192	173919	239659	156120	87963.3	141166	74524.5	54644.7		
O15305	O15305		PMM2		158940	412589	446296	354284	421043	171426	366590		394722	384026	388647	364053	317999	321854	270044	321695	251674	313734	287213	337588	323092	361451	361500	336418	346630	356139		
O15321	O15321		TM9SF1		20726.9					13299										31676.3												
O15347	O15347		HMGB3		339594	336443	384673	340496	421584	268009	369745	345253	348056	392060	353113	395455	391952	390698	449481	455639	505085	457234	459477	442955	465818	423453	489518	482073	443944	481515		
O15355	O15355		PPM1G		2.44593e+06	2.5351e+06	2.64208e+06	2.46396e+06	2.48696e+06	2.10613e+06	2.59461e+06	2.61675e+06	2.34848e+06	2.56257e+06	2.54696e+06	2.75274e+06	2.48321e+06	2.35598e+06	2.83601e+06	2.69489e+06	2.83521e+06	2.77463e+06	2.77239e+06	2.76511e+06	2.5235e+06	2.60306e+06	2.53816e+06	2.69629e+06	2.55718e+06	2.44522e+06		
O15357	O15357		INPPL1		270066					241273				823622		549215	551207		236116	1.41241e+06		818064				774157		764367	888087	820499		
O15371	O15371		EIF3D		569365	624140	705258	624018	699277	622318	634044	603811	632387	559780	624461	576915	569932	625050	497091	532525	523475	521566	513857	542259	532454	552314	487525	528442	511607	513751		
O15372	O15372		EIF3H		213297	278356	262934	282151	253437	192702	252467	268288	271554	242085	282525	274025	245907	251755	191433	228654	219909	222579	228473	202827	217770	191275	280406	326248	309149	307697		
O15381	O15381		NVL		24055.5					28045.3																						
O15382	O15382		BCAT2		112661	123790	208109	130095	98533.3	120024		119368			145285	88557.6	74713.6	53618	158518	111019	134133	128890	136457	160592	128758	117728	102116	138820	138830	143680		
O15397	O15397		IPO8		37253.3	198081	186992	181014	160420	30428.1	231369	216143	237987	214699	253217	196755	218411	200156		231751	196675	181038	224349	231013	179972	222902		192363	175779	209688		
O15427	O15427		SLC16A3		399807	604227	551886	522075	527903	491846	624353	555116	520071	569218	531232	466602	579884	535334	468309	506161	510785	528600	500857	455616	529723	475179	507414	534036	571034	444963		
O15446	O15446		POLR1G		48861.9					43033.1																						
O15498	O15498		YKT6		50756.2	60508.9	95797.9	94332.8	66581	48109.6	67299.7			76889.1		85895	68845.6	89530.6	82402	81904.7	99399.6	92574.1	93021.9	76834.4	80740.4		83771.7	125299	124016	85382.1		
O15511	O15511		ARPC5		294990	361305	358080	346295	406569	245052	346510	339009	377996	319054	339409	357560	341801	334354	414699	386548	400802	342333	390373	386043	378845	407298	321100	342994	329167	336286		
O15541	O15541		RNF113A		60983.2					47228.7						201939	187321	176527		250325			253574	271609			201806	215148	221630	200949		
