Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_2215_DIA20_10ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_1.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_2215_DIA10_10ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk2.raw
P61088	P61088		UBE2N		1.08983e+06	1.07147e+06	921555	1.01346e+06	1.00583e+06	1.18384e+06	1.00259e+06	1.02863e+06	1.03986e+06	1.23515e+06	1.02065e+06	1.206e+06	1.17655e+06	1.09173e+06	1.21464e+06	1.16288e+06	1.18076e+06	1.1724e+06	1.23519e+06	1.18907e+06	1.22122e+06	1.19166e+06	1.3286e+06	1.32533e+06	1.2367e+06	1.33123e+06		
P61106	P61106		RAB14		521255	411403	404579	475749	425022	454342	331495	376462	412537	499579	442281	512065	498768	507692	437007	470047	422973	477753	463617	438149	487276	440433	492136	511365	500634	454798		
P61158	P61158		ACTR3		492851	299953	266687	315766	274514	462803	311032	340386	302244	276481	307098	338271	339041	331428	323095	313040	301377	279867	315234	308917	324939	289892	345718	341864	380943	329176		
P61160	P61160		ACTR2		230710	231066	226139	238843	248947	266821	231485	222223	224433	240443	238963	249385	219985	260518	237876	209713	233638	255832	222184	245114	238089	220332	242380	284759	275613	276774		
P61165	P61165		TMEM258		50192.6	19391.6		28809.1	36519.2	70045.9					27126.1		35505.8	37826.6	26046	34221.5	27387.5	33626.1	41103		39229.2			36126.2	46536.2	26560.9		
P61201	P61201		COPS2		262395	261845	223089	237304	296218	249644	262031	214003	245482	252791	283762	312422	335521	269712	290108	310784	271577	311258	297770	227621	354318	281210	305080	328281	333866	288476		
P61204	P61204		ARF3		1.36358e+06	1.70476e+06	1.50983e+06	1.67017e+06	1.66943e+06	1.40425e+06	1.36067e+06	1.55238e+06	1.73618e+06	1.67174e+06	1.8185e+06	1.75617e+06	1.871e+06	1.75051e+06	1.83795e+06	1.82462e+06	1.76013e+06	1.81336e+06	1.76321e+06	1.57794e+06	1.77119e+06	1.65814e+06	1.50741e+06	1.79084e+06	1.95227e+06	1.75604e+06		
P61221	P61221		ABCE1		290296	540973	533884	567968	559313	397735	511479	480270	587411	496787	553451	511616	525308	510426	461497	454231	441071	429714	467033	457650	435410	432061	530031	564129	535238	495592		
P61224	P61224		RAP1B		50858.5		31391.2	66110.4		58991.7		36352.6	32852.6	57700.2		79858.1	81723.7	100661		67693.3					89255.2			64684.4		94636.9		
P61247	P61247		RPS3A		3.29235e+06	2.36949e+06	2.49748e+06	2.46908e+06	2.39651e+06	3.36005e+06	2.35098e+06	2.3334e+06	2.52289e+06	2.43003e+06	2.56013e+06	2.49426e+06	2.59885e+06	2.77738e+06	2.31847e+06	2.38529e+06	2.29294e+06	2.3785e+06	2.32482e+06	2.24843e+06	2.51078e+06	2.42384e+06	2.6613e+06	2.70811e+06	2.75103e+06	2.87364e+06		
P61254	P61254		RPL26		2.32828e+06	2.0201e+06	2.14872e+06	1.83645e+06	1.84124e+06	3.14252e+06	1.99813e+06	2.33095e+06	2.0521e+06	2.33406e+06	2.08268e+06	2.42382e+06	2.28973e+06	2.39993e+06	2.29007e+06	2.27405e+06	2.38064e+06	2.29635e+06	2.42038e+06	2.3191e+06	2.13739e+06	2.40673e+06	2.18079e+06	2.3162e+06	2.05406e+06	2.21359e+06		
P61289	P61289		PSME3		321916	380606	386283	464139	443937	291561	351606	301137	391237	397885	347351	378111	365053	381806	395931	378131	403360	381750	439970	390613	384018	394876	363994	408536	440200	393088		
P61313	P61313		RPL15		4.39825e+06	1.91269e+06	1.99362e+06	1.84126e+06	1.79299e+06	2.85567e+06	1.93161e+06	1.89552e+06	1.95793e+06	2.35123e+06	2.09295e+06	2.29674e+06	2.34118e+06	2.38652e+06	2.34275e+06	2.26134e+06	2.32741e+06	2.29964e+06	2.10318e+06	2.37246e+06	2.09456e+06	2.16631e+06	2.38975e+06	2.19865e+06	2.28493e+06	2.34274e+06		
P61326	P61326		MAGOH		28034.4					29328.8							8718.9	19485.9			11297.3											
P61353	P61353		RPL27		2.2253e+06	1.53586e+06	1.60473e+06	1.57297e+06	1.51939e+06	2.50618e+06	1.57191e+06	1.58374e+06	1.59842e+06	2.18625e+06	1.61905e+06	2.02507e+06	2.07968e+06	2.11761e+06	2.01739e+06	1.80567e+06	1.87484e+06	1.90514e+06	1.89651e+06	1.89322e+06	1.9333e+06	1.95285e+06	2.05168e+06	2.10661e+06	2.10835e+06	2.22893e+06		
P61421	P61421		ATP6V0D1		398693	846828	584598	687425	540132	250547	728309	675685	658655	931118	967148	1.09998e+06	983139	1.22208e+06	448229	501364	475660	423784	492658	455658	488916	423328	721649	788284	784382	795816		
P61513	P61513		RPL37A		680601	210894	422017			664389	211744	571145	118283	275244		283266	298103	311869	242316	195172	287466	194794	241474	308240	214962	241442	111221	118476	128567	231079		
P61586	P61586		RHOA		590595	725897	736331	699493	718136	661909	514091	543642	822308	701049	853642	807437	737908	834960	739785	808739	795234	821902	760768	787619	625248	685421	793752	788782	818472	742999		
P61604	P61604		HSPE1		3.01866e+06	3.15844e+06	2.82502e+06	3.04408e+06	3.08059e+06	3.39744e+06	3.06591e+06	3.13181e+06	3.09993e+06	3.30232e+06	3.30898e+06	3.29574e+06	3.39721e+06	3.27675e+06	3.38596e+06	3.26746e+06	3.2541e+06	3.19603e+06	3.25546e+06	3.21664e+06	3.20304e+06	3.36912e+06	3.66802e+06	3.56972e+06	3.52008e+06	3.6556e+06		
P61619	P61619		SEC61A1		378360	426069	446654	449993	486033	418717	419057	443699	439919	398321	509192	422718	443954	410923	397973	388257	398995	406358	393421	392296	392554	407979	392567	401400	435857	428170		
P61758	P61758		VBP1		169470	65005.4	39132	78720.2	77823.9	158546	36890.1	28928.7	48208.9	73252.5	43802.4	86522.1	149409	96615.9	82044.3	86685.1	92111.7	93358.8	85530.8	54269.3	93431.1	73109.1	82340	98503.9	102410	81828.4		
P61764	P61764		STXBP1		15492.9					15469.1														31565.8								
P61769	P61769		B2M		71467.2					79125.3																						
P61803	P61803		DAD1		252843	260129	262564	253899	169520	270094	274130	371454	293942	282762	255643	414158	383998	255359	256128	239930	253971	226186	250276	267149	295190	225760	311599	279410	305647	309004		
P61916	P61916		NPC2		572669		1.82708e+06	2.37764e+06		349697			2.20683e+06	2.0495e+06	2.10889e+06		2.0624e+06	2.05107e+06	1.39607e+06	1.85335e+06	1.64844e+06	1.78403e+06		1.71998e+06	1.8745e+06		1.81749e+06	1.97054e+06	1.74535e+06	1.75416e+06		
P61923	P61923		COPZ1		75098.1	186480	246294	198102	201685	109320	219808	227504	231174	546297	217742	596317	475971	529380	148825	202679	203334	188839	203910	217043	196060	177157	263789	266280	267351	252346		
P61927	P61927		RPL37		154046	214180	196636	192387	225011	159437	238299	270850	177167	228945	184526	247223	260541	244958	203489	241479	221582	235054	213721	203775	223527	217694	306587	294578	305092	273704		
P61956	P61956		SUMO2		229936					118837								495744									280422	349875	345975	354302		
P61960	P61960		UFM1		86003.8	96677.5	103800	91764.3	83546	82011.4	106741	103794	99134.9	105959	77179.7	75752	96931	93112	87682.1	91774.3	94191.1	67065.3	83860.7	90908.8	82975.3	94744.3	97538.7	87276.7	98879.2	93736.6		
P61964	P61964		WDR5		21434.1	251423				69213.6	203615			132639	227670	158881		245626	72868.6	73680.1	88851.1	94699.8	50672	74462.7		101216	118954	147468		222142		
P61970	P61970		NUTF2		469726	728822	723194	687731	721800	537787	751330	704539	753721	800881	724109	659889	702551	641753	568911	554914	575655	562639	587624	581696	521124	626855	706295	728711	661559	702027		
