Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_7.raw
Q9NX58	Q9NX58		LYAR		11475	7351.44	8918.94	10603.3	10415	6143.75	7557.19	8771.64	7064.95	6786.92	7589.63	6031.56	4642.5	6217.69	8148.29	9312.51
Q9NX63	Q9NX63		CHCHD3		133222	133722	131029	133431	131885	109639	132871	111962	128410	105619	124332	110728	112153	110022	116845	115593
Q9NXG2	Q9NXG2		THUMPD1		81482.7	74373.5	79224.8	76769.8	77552.9	50548.8	74159.6	50497.4	78036.8	43067.1	83208.9	48354.8	51238.6	44715.5	44435	52292.4
Q9NXH9	Q9NXH9		TRMT1		11611.8	8909.8	9667.46	10570.1	8370.73	15502.9	6117.7	13599.2	5644.18	13075.3	8183.78	14435.6	14886.1	10703	9203.33	15014.5
Q9NY12	Q9NY12		GAR1		100585	113214	108497	108561	105452	81161.5	108068	87154.5	110533	82735.3	112775	85987.6	86750.1	79007.4	88278.5	79055.8
Q9NY33	Q9NY33		DPP3		52650.7	46866.9	51957.1	50120.8	65967	39968.3	45416.8	37269.8	41096.1	40550.6	49065.1	46988.6	46656.3	43091.7	40685	42742.2
Q9NY65	Q9NY65		TUBA8		4210.61	6119.88			21061	5205.49										
Q9NY93	Q9NY93		DDX56		36111.2	37884	34991	35798.1	35128	34087.3	32396.4	33495	33694.6	36898.7	34909.1	35757.8	32755.7	32746.9	38830.1	32480.4
Q9NYB0	Q9NYB0		TERF2IP		24817.5	23988.3	21433.5	22951	25478.6		18443.8		19746.2		22292.6					
Q9NYF8	Q9NYF8		BCLAF1		156045	148537	159199	147822	135559	121830	157307	104134	148189	90583.8	143440	109548	115964	137828	106151	226685
Q9NYL4	Q9NYL4		FKBP11							35324.1		42776.7		38136.6		37945.1	41073	43142	41667.4	41184.4
Q9NZ01	Q9NZ01		TECR						4263.67	46556.9		45888.4		45199.3		39881.3	43634.9	45524.2	40780.3	42794.8
Q9NZ45	Q9NZ45		CISD1		47001.4	40790.5	62850.8	42185.7	36100.3	66534.1	55541.2	49784.9	58720.3	48839.9	52929.5	49239	85917.7	92100.9	82982.1	79511.5
Q9NZ63	Q9NZ63		C9orf78		153910	179138	144676	138100	179122	130009	144085	126308	159747	125056	147252	142718	97559.4	106219	126516	115480
Q9NZD4	Q9NZD4		AHSP		19994.8	16578	15155.6	23945.3	22124.4		17683		18126.5		16724.8					
Q9NZI8	Q9NZI8		IGF2BP1		259082	253358	265100	228210	235092	51928.4	231280	42189.4	243160	43585.8	242218	48444.3	57000.6	54800.7	51491.8	50090.8
Q9NZJ9	Q9NZJ9		NUDT4		33680.5	35644.6	35317.8	38241.4	35019.6		36167.8		37118.5		35557.1					
Q9NZL4	Q9NZL4		HSPBP1		12017.9	10606.4	15588.9	12342.4	12129.8	16017	11924.7	14999.8	12576.4	16007.9	13309	17946.5	16322.3	17562.2	15730	17748.5
Q9NZL9	Q9NZL9		MAT2B		62116.9	62854.7	62027.7	60815.4	63390.8	79049	58712.4	81834	66111.6	88376.4	63958.5	85659.1	81152.2	86932.7	75501.2	82167.6
Q9NZM1	Q9NZM1		MYOF							43581		42665.1		43016.5		41340.5	43705.8	43864.8	42981.2	40237.5
Q9P013	Q9P013		CWC15		40257.4	39808.6	44155.3	37646.5	42016.7	46152.2	40401.8	41161.8	41600.4	43882.7	44834.6	38131.8	44067.9	46840.5	40881.4	43640.3
Q9P035	Q9P035		HACD3							119138		123488		115422		130957	124337	122281	122080	111423
Q9P0J0	Q9P0J0		NDUFA13		29111.6	30444.1	28257.4	27446.2	25856.8	43461.7	29672.9	45498.1	29180.2	44910.3	29025.9	48749.1	47696.3	45321.4	46067.7	41299.7
Q9P0L0	Q9P0L0		VAPA		58413.5	67087.1	70817.9	58126.6	73038.6	144288	54600.6	140978	66793.2	133910	74085.1	130820	119897	144526	128475	110822
Q9P0M9	Q9P0M9		MRPL27		18342.5	18235.9	14912.6	17296.5	16888	28168.8	16176.7	26861.1	16170.3	26612.9	14317.6	23166.2	24325.9	23383.5	24507.5	28952.2
Q9P258	Q9P258		RCC2		260387	250862	246057	262883	263556	181120	237544	172739	249348	174689	252471	173850	177449	177612	181639	172564
Q9P287	Q9P287		BCCIP		48694	48588.5	47353	45441	42344.1	25858.8	30785.4	23559	29319.8	22541.6	37214.2	20013.4	13250.8	22820.7	24741.9	26693.5
Q9P289	Q9P289		STK26		54045.6	55901.2	47508.8	54622.5	51160.8	28506.4	54339.2	30544.8	53959.6	29699.5	53563.1	29592.3	31786.5	26264.3	31020.1	29381.3
Q9P2J5	Q9P2J5		LARS1		84718.9	80732.2	78964.9	84308.2	83946.1	83646.7	85959.8	84528.6	82161.4	87004.4	85015.5	87308	85407.4	76003.9	86100.7	84179.4
Q9P2N5	Q9P2N5		RBM27		35043.8	39658.9	36260	37082.1	39748.3	31755.6	40444.6	30413.4	40086.1	28686.2	42568.1	30602.9	27082.7	25251.4	30092.6	27125
Q9P2R7	Q9P2R7		SUCLA2		22722.8	20537.5	22443.3	21334.7	20400.3	42778.9	24394.1	39834.6	23618.4	39631.8	23172.3	39438.4	44425.8	42449.9	50974.2	41845.5
Q9P2X0	Q9P2X0		DPM3			4213.49	4507.76	3617.85	3304.25	46624.5	3173.07	53771.3		48904.1		56435.3	38924	47321.8	56040.4	54292
Q9UBB4	Q9UBB4		ATXN10		100147	92567.9	99168.9	94447.5	94625.6	89737.2	93159.1	85571.1	93345.6	76014.1	98305.7	80622.1	90365	83877.1	40040.5	97158.3
Q9UBC2	Q9UBC2		EPS15L1		13093.4	11075.3	12799.6	12349.2	12398.5	16292.7	12773.6	14441.8	12907.6	13867.1	11332.1	17080.3	14722.8	14017.4	17488.4	17084.6
Q9UBE0	Q9UBE0		SAE1		103512	98376.7	110920	101621	110883	60350.5	103668	56273.8	112127	60725.6	108085	61076.3	59735.1	62126.7	57704.5	57432.9
Q9UBF1	Q9UBF1		MAGEC2		20889.1	19782.5	18804	18478.3	14277.7		19336.3		19853		23613.9					
Q9UBF2	Q9UBF2		COPG2		5415.6	4655.66	13221.1	5541.31			11799.8		14053.4		12589.2					
Q9UBI1	Q9UBI1		COMMD3		1887.36															
Q9UBI6	Q9UBI6		GNG12							42156.8		37938.4		40255		37814.4	39302.6	41445.8	44363.4	41315.9
Q9UBQ0	Q9UBQ0		VPS29		78051.3	65621.1	63067.6	67707.4	66012.7	176424	71073.4	197646	66997.4	177366	61929.4	169593	192488	185299	172241	190345
Q9UBQ5	Q9UBQ5		EIF3K		88875.1	95607.8	91132.9	87514	95907.7	75574.4	85850.2	67849.3	87637.9	64757.6	95984.3	51112.2	64490.1	70696.8	61261.1	53493
Q9UBQ7	Q9UBQ7		GRHPR		56542.9	61246	63614.6	61323.9	63566.7	41477.5	69281.8	43396.3	65010.7	44875	67157.6	42417	34439.2	41882.6	35157.8	45336
Q9UBR2	Q9UBR2		CTSZ		32100.7	38000.9	31372.9	31329.2	25950.4	4086.17	29225.3	6663.57	31742.7	4189.86	27256.1		7781.69	5784.46	6686.39	5405
Q9UBS4	Q9UBS4		DNAJB11		47686.2	54758.2	53018.8	57852	51717	105582	55868.9	103757	46831.8	99043.5	54390.1	90855.2	102247	99415.2	108188	102747
Q9UBT2	Q9UBT2		UBA2		90230.4	91532.4	95593.8	92151	96113.2	65911.9	91371.5	62558.5	86776.4	58421.3	94385.2	64069.6	61109.2	60454.2	62340.7	58815.6
Q9UBU9	Q9UBU9		NXF1		19462.2	20672.7	19562.1	16265.4	17572.1	15523.9	19388.1	14655.4	23291.9	16967.9	24081.6	16504.7	13056.6	13502.1	15810.2	13567.5
Q9UFC0	Q9UFC0		LRWD1		5111.11	5818.78	7053.03	7085.17	7621.03	3694.42	6298.33		7780.87		7963.77	666.365	3373.2		2674.55	2336.71
Q9UG63	Q9UG63		ABCF2		976638	974190	1.034e+06	929427	1.00984e+06	608442	908764	592355	963707	573219	977645	688808	669444	698239	630184	639857
Q9UGI8	Q9UGI8		TES		18678.8	18429.8	21185.1	20711.6	17659.5	24725.3	24225.5	28288	22528.9	28582.8	20124.3	30037.4	23362.7	24298.5	25764.3	25374.3
Q9UGP8	Q9UGP8		SEC63							26957		37501.4		36938.8		36894.1	27915.7	25282	26300	25484.6
Q9UHA4	Q9UHA4		LAMTOR3		19000.6	20102.7	20860.5	24628.7	20913.4	13002.3	23636.1	15054.5	27011.3	12700.6	25360.1	11806.1	13202.3	11123	16048.3	13393.9
Q9UHB6	Q9UHB6		LIMA1		10698.4	8583.9	9310.49	10201.9	9348.18	14494.1	5781.86	14020	8841.86	15793.9	9526.25	11903.3	14629	12440.3	15282.6	14324.9
Q9UHB9	Q9UHB9		SRP68		58941.2	59375.5	59232.3	57430.6	56537.7	39550	57687.5	43517.1	55522.3	38175.2	56795.9	39623.7	39211.1	37750.9	40978.4	40974.9
Q9UHD1	Q9UHD1		CHORDC1		115840	105829	125386	113453	110237	62711.7	129612	74248.9	128315	75966.3	126033	60187.9	69477.4	80913.4	94844.1	87827.3
Q9UHD8	Q9UHD8		SEPTIN9		83068.6	81517.2	82500.7	82327.2	84716.2	92780.1	80926.8	100777	85861.7	100362	83802	99264.2	99488.1	97883.6	107048	98280
Q9UHD9	Q9UHD9		UBQLN2		17829.8	13075.3	12699.5	18286	16883	26442.8	18195.8	27980.7	14217.4	26509.4	12958	24893.2	29830	26202.3	24305	25099.7
Q9UHV9	Q9UHV9		PFDN2		168823	167792	166871	163823	171748	96678.6	159575	90310.9	168617	91411.2	160140	79433.2	87071.5	95684.1	92458.2	89394.5
Q9UHX1	Q9UHX1		PUF60		472829	451248	460184	430231	414072	282552	466045	275452	448976	219039	446058	261666	282695	282660	304422	318108
Q9UHY1	Q9UHY1		NRBP1		18142.8	16910.7	19013.6	16630.8	14766.8	4710.3	14986.3		15096.7	3109.96	18058.7					
Q9UHY7	Q9UHY7		ENOPH1		23454	21031.9	21987.2	20435.3	18723.8	13886.2	19629.1	14266.1	18926.5	8734.24	22399.3	12040.6	10025.7	11530.3	11933.5	11188.4
Q9UI12	Q9UI12		ATP6V1H		12958.2	13444.5	11646.7	10531.4	13760.3		9263.36	4284.13	10756.1		12509.2					4041.01
Q9UI26	Q9UI26		IPO11		24355.7	23361.5	23053.5	21797.1	21465.1	30491	22339	31018	21404		23786.5	30831.3	30435	34556.2	33474.2	36449.6
Q9UI30	Q9UI30		TRMT112		44156.5	45679.3	41276.1	48497.6	46817.4	41607.7	48292.3	41038.1	44082.2	46153	47336.1	39895.1	38484.5	36440.3	42083.3	41810.3
Q9UIA9	Q9UIA9		XPO7		38247.1	38553.3	38922.8	39090.2	35046.3	19785	35839.6	21462	38338.3	16179.4	33592.3	22003.3	16272.1	20085.8	21704.6	19030.7
Q9UIG0	Q9UIG0		BAZ1B		18943.1		18477.5	19089.2	21645.4	42641.3	21335.4	43768.7	21605.9	44506.2	21783.4	46668.9	47521.9	45117.6	42953.2	42246.2
Q9UJS0	Q9UJS0		SLC25A13		62866.2	63189.1	66145.4	57236.4	62820.1	78108.5	60850.1	72102.8	62536.9	75266.9	62593.3	69817.1	77463.6	68927.5	81848.4	74338.4
Q9UJU6	Q9UJU6		DBNL		15320.3	13046	11382.3		12643.6	18279.6	11378.7	19215.9			10290.7	13412.7	21101.4	23646	16285.6	16641.8
Q9UJX2	Q9UJX2		CDC23		12823.8	13836.1	12187.6	18222.3	13208.4	9330.76	12860.2	10753.8	15608.6	8532.53	15104.1	7243.5	6674.06	8930.67	9370.53	9423.95
Q9UJX3	Q9UJX3		ANAPC7		30276.7	25951.4	29628.2	28500.6	22382.9	22744	27785.7	27585.7	24732.3	25434.4	26505.9	21501	14209.8	15280.4	20224.2	19099.4
Q9UJZ1	Q9UJZ1		STOML2		47716.4	49390.1	50683.3	51136.6	53649.2	42445.6	48339.7	43413.1	53038.6	43049.5	53123.8	42472.3	44897.8	45832.1	46950.3	47773.8
Q9UK59	Q9UK59		DBR1			4800.68		3092.48	4588.28	22060.2	6858.53	24182.3		20811.7	8055.05	20736.5	21561.4	21758.4	25513.9	26053.9
Q9UK76	Q9UK76		JPT1		98588.1	94930.8	107798	101088	97268	47689.9	108582	58126	105249	57365.5	109804	56906.3	48775.6	42136.1	47640.5	47970.7
Q9UKD2	Q9UKD2		MRTO4		94684.2	90152.4	90650.4	96321.2	93601.4	77260.1	95471.2	79676.8	92691.3	73793.3	92398.3	78602.7	78302.7	73068.6	76874.1	78418.8
Q9UKF6	Q9UKF6		CPSF3		103185	111185	114077	118568	104134	124324	100599	121049	99120.1	118562	101980	125865	115890	109722	99992	96292
Q9UKK9	Q9UKK9		NUDT5		86436	89420.2	86445.6	89250.1	91860.8	67746.4	92978.4	65821.1	84020	66274.9	89759.3	65255.8	66010.2	59537.4	65878.9	60956.5
Q9UKL0	Q9UKL0		RCOR1		15753.6	12955.9	14365.8	12756.1	12748.4		14450.1		11443.9		12533.2		31342.7			
Q9UKM9	Q9UKM9		RALY		156073	162591	146638	152246	156819	158838	155442	150940	153557	159822	149058	150228	163138	165017	151363	160599
Q9UKS6	Q9UKS6		PACSIN3							47109.1		51395.2		48986.2		47301.9	50644.3	47601.1	47522	48927.8
Q9UKV3	Q9UKV3		ACIN1		113097	115718	118340	116171	118948	85087.4	115536	78641.9	115954	79466.5	116878	77070.1	86590.6	77968.3	80738.1	79417.6
Q9UKX7	Q9UKX7		NUP50		49920.4	54118.9	49250	49000	50902.1	51132.6	53309.1	51041.2	47674.7	53549.6	49490.4	53592.2	55115.8	51155.4	50118.5	51777.1
Q9UKY7	Q9UKY7		CDV3		67690.4	60567.9	78505	62179	62228.3	85775	90423.4	91717.3	89976.2	75941.4	70612.6	81786	100318	93899.6	94145	95761.8
Q9UL25	Q9UL25		RAB21		61658.3	58794.7	64059.4	58189.6	67648.7	133849	70714.8	119793	71156.5	136457	55348.4	121673	141835	136841	142743	146585
Q9UL46	Q9UL46		PSME2		59946.6	54570.8	54877.8	58252	58009.2	134051	50339.8	150089	53512.5	135592	57702.5	151534	143296	141172	135852	143614
Q9UL63	Q9UL63		MKLN1		23545.7	23080	22285.3	23372.1	24250.5		24103		20498.3		22115.3				7859.2	
Q9ULC4	Q9ULC4		MCTS1		57747.8	59040.8	50563.8	57262.8	54986	42302.6	55388.9	48816.6	53444.4	45405.4	56641.4	48729.3	54198.2	36589.4	43130.9	50541.6
Q9ULH0	Q9ULH0		KIDINS220		34506.5	32701.9	37248.9	29404.1	32158.3	36203.2	36121.1		36314.8	38884.3	35716.8	29683.8			33840.7	34691.5
Q9ULR0	Q9ULR0		ISY1		44993.3	37036.9	41469.5	38539.5	47681.7	23918.6	36291.5	22674.2	36456.8	24718.3	33745.8	31336.2	22204.7	29934.7	15571.6	27938.4
Q9ULU4	Q9ULU4		ZMYND8		43778.3	40475	43456.5	48355.8	49415.2		40222.5		39729.5		46233		5745.97			
Q9ULV4	Q9ULV4		CORO1C		73486.5	67609.5	77050	70278.6	67226.1	53682.6	79771.1	54734.2	78626.6	48159	78201.7	58198	59561.2	67844.5	72373.7	71129.8
Q9ULW0	Q9ULW0		TPX2		50842.9	52558.7	46076.4	49863.6	47824.3	4903.04	43577.4	17122.9	49602.9		48268.1				34185.7	
Q9ULX3	Q9ULX3		NOB1		47659	48929.3	45074.7	50233.9	53343.5	32561.5	47841.9	33090.8	55330.5	32597.6	46439.3	22090.1	27213.9	24045.1	24911.4	26819.8
Q9UM00	Q9UM00		TMCO1							139051		133288		141869		137613	144674	133238	148223	142122
Q9UMS4	Q9UMS4		PRPF19		321150	318483	323783	320481	310595	229868	316234	225041	318753	223239	323813	213006	224080	239104	239627	241241
