Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_7.raw
A0A0B4J2D5	A0A0B4J2D5		GATD3B		39115.4	39027	37459.8	41779.8	40535.6	27149.4	40187.6	32590.5	39074.9	31420.3	37840.1	33213.1	31778.9	34490.9	34704.1	34193.3
A0AVT1	A0AVT1		UBA6		52641.6	53502.9	52246.8	53740.9	51862.5	19972.8	50834.1	16602.5	51893.3	18494.8	54327.3	17231.2	20703.1	19472.2	20726.9	22587.5
A5YKK6	A5YKK6		CNOT1		25050	24887.6	25453.1	26569.9	25699.7	18665.2	22942.1	13056.7	22474.9	14316.7	21754.3	8146.83		9427.2	13848.1	
A6NCN2	A6NCN2		KRT87P		27110.8	22099.1	25514.9	21384.9	21722.9	26591.1	22347.2	19841.2	22862.9	23938.9	26092.2	25211.6	22541.1	21971.9	21101.4	23440.2
A6NDG6	A6NDG6		PGP		68136.4	68679.4	67364.7	64799.3	68064.2	71263.7	60081.9	68308.1	61685.9	65775.4	70033.9	61838.1	65454.6	73421.5	63209.9	74979
A6NHG4	A6NHG4		DDTL		32887.2	41053.7	28705.5	31650.4	38399.8	152440	31365.8	149142	38110.9	159391	32989.3	152588	150963	161722	146993	155507
A6NHQ2	A6NHQ2		FBLL1		245282	234706	224673	245777	250919	192793	260871	209709	262919	218789	261087	212897	229405	204390	211839	215683
A6NHR9	A6NHR9		SMCHD1		156099	131847	141087	146024	139141	75586.2	149294	81139	147108	78268.7	138659	86252.6	78221.1	70916.2	77799.9	91925.4
A6NKT7	A6NKT7		RGPD3		89714.1	87105.2	63600.5	93456.4	68869.5	100993	87699	106057	87588.5	111605	84972.5	111367	115542	107542	74554.2	109659
A6NNZ2	A6NNZ2		TUBB8B		44932.7	35308.9	40449.6	44860.7	42316.9		56237.9		47989.5		44114.8					
A8MWD9	A8MWD9		SNRPGP15		332983	317414	325491	319621	309449	163070	293954	173535	290919	193319	330531	191926	202607	192371	175249	196704
A9QM74	A9QM74		KPNA7		7062.6		20550.5				8086.14		3331.4		15912.1			2216.97		
B0I1T2	B0I1T2		MYO1G							58289		56371		56684.5		53974.8	71544.4	65383.6	66398.2	63610
B5ME19	B5ME19		EIF3CL		131982	140376	134206	137596	139165	97717.4	131587	102027	133142	99895.3	140590	95445.6	105505	96473.3	104786	99463.3
E9PAV3	E9PAV3		NACA		270982	281879	281076	266524	285139	218188	269350	190025	301092	211632	265728	194890	216597	200334	189624	196195
E9PRG8	E9PRG8		C11orf98		54736.1	47176.4	51334.4	55600	50026.9	44871.8	42203.8	47661.4	50980	47646.8	50864.7	51019.7	41506.4	43145.6	40941.1	43081.9
O00116	O00116		AGPS		41165.8	27138.3	50023.4	29122.6	34873.1	26087.7	42197.9	31250.1	43819.9	17849.4	38502.8	21778.2	42483.6	45050.9	41004.6	41714.6
O00139	O00139		KIF2A		21645.4	18503.8	18282.8	21819.5	22709.8	11649.8	21472.2	7924.46	20275.5	11127.5	19925.8	11944.9	9287.97	10275.9	13721.7	8341.28
O00148	O00148		DDX39A		95264.9	93654.2	99466.6	93038.7	101871	61641.8	96722.7	55070.5	94206.1	61129.3	87659.2	56933.6	56430	62053.5	63106.3	62836.8
O00151	O00151		PDLIM1		127690	126954	137612	121335	124132	19999.6	130861	20983	129443	24186.4	126764	20027.1	22260.1	28068.1	23582.8	22609.9
O00154	O00154		ACOT7		69311.6	66396.5	58997.9	69981.1	68428.4	54541.1	55699.7	58559.5	55023.4	58577.1	57116.3	57554.1	52643.6	48602.1	56085.1	53908.3
O00159	O00159		MYO1C				36830.6			67155.4	20088	63166.3		65122.5		62129.1	64094.3	65657.7	71120.7	67927.8
O00161	O00161		SNAP23		26590.4	31489.1	24812	28464.7	29753		23635	6056.56	24619	5756.24	23942.3	6527.54	11849.7			8329.47
O00170	O00170		AIP		38991.5	44023.3	39831.9	38647.1	36712.5	44362.3	34608.6	47118.2	29259.5	40721.1	28689.8	49008.6	45164.3	42537.9	40854.9	49350.3
O00231	O00231		PSMD11		228467	234964	235936	231811	225880	152178	225661	141839	220255	151544	223523	141057	145493	153051	149374	139340
O00232	O00232		PSMD12		43711.9	40959.1	76810.6	47655.9	29040.9	27505.5	71787.6	19702	73623	27243.3	71835.2	31224.4	36205.1	31927.7	45504.1	44272
O00233	O00233		PSMD9		46803.2	49827.8	46721.4	50839.4	49781	43467.5	46176.6	44431.4	50028.9	49714.6	45933.2	44635.2	42344.4	41635.8	40795.3	44870
O00244	O00244		ATOX1		50797.7	48606.2	49193.6	53233.2	47606.3	36819.5	49803.8	41873.9	49430.8	40436.5	56499.1	37755.9	41267.2	38289.5	36687.7	39031.8
O00264	O00264		PGRMC1		16772.7	17863	19052.9	18179.6	15424.8	129990	18432.3	125459	15463.5	126048	16940.2	139600	130220	128618	143834	128773
O00267	O00267		SUPT5H		49239.1	49559.2	50782.7	50308.9	51482.3	31188.6	49221.6	31621.5	53653.3	32360	46888.2	34061.9	34985.6	34420.9	38098.2	31789
O00273	O00273		DFFA		20738.1	16407.9	17118	16458.6	17456.7	12667.6	18656.2	12248.7	16848.9	13440.4	21268.9	10093.3	8641.53	10967.1	8083.91	13522.3
O00299	O00299		CLIC1		1.5558e+06	1.47738e+06	1.47198e+06	1.45689e+06	1.38923e+06	402269	1.4588e+06	394376	1.39088e+06	388884	1.37844e+06	371207	376177	352003	390481	386160
O00303	O00303		EIF3F		125955	121207	147323	115525	119629	89488.8	131414	99476	127389	108396	134244	106496	98420.8	106786	99305.1	107150
O00410	O00410		IPO5		131250	121362	124476	130856	128031	128193	118703	127574	124027	138391	118467	130874	127376	129076	131431	127724
O00422	O00422		SAP18		46753.7	46936.6	48176.4	56930.8	69511.2	23238.5	97868.2	28807.3	99283	57593	110522	70486.3	65577.2	63660.1	51691.3	74387.5
O00425	O00425		IGF2BP3		75235	71266.8	72705.9	72761.8	75561	53075.5	69735.6	53515.7	72778.3	48245.3	70822.6	55583.6	47082.4	56288.2	53669.7	50351.2
O00429	O00429		DNM1L		62804.4	61376.9	57589.3	62150.4	63478.1	73331.2	59092.3	67732.1	63649.1	71144.3	63577.5	69062.4	67335.5	64856.1	70774.8	67907
O00442	O00442		RTCA		18826.8	15513.6	12237.4	14264.1	16156.6	7609.23	14832.7	9757.37	17824.3	10463	16443.1	6595.83	8817.75	7529.97	8560.06	8215.08
O00487	O00487		PSMD14		287479	267664	291821	295326	250355	125386	301257	114292	305483	135605	309427	115425	130940	138155	126379	150410
O00541	O00541		PES1		66246.3	67950.7	64301.4	68477.3	65535.6	62064.1	62319	65254.3	69993.7	64159	69540	61412.3	59302.5	61237.8	75579.1	65788.2
O00566	O00566		MPHOSPH10		2029.21		4176.49													
O00567	O00567		NOP56		28715.2	32157.1	30948.6	30599.3	32567.8	103763	28588.3	105950	30019.8	105999	31058.4	109312	110758	111690	106011	105149
O00571	O00571		DDX3X		373762	370190	366786	371575	366978	428995	376788	417817	374856	432552	369349	415768	429217	444554	438087	424734
O00592	O00592		PODXL							211473		195196		214813		202436	210598	210164	200473	197207
O00625	O00625		PIR		17928.2	13805.5	11763.8	14893.8	15014.6	70677.1	13788.3	65820.7	13551.3	72766.1	12738.7	73731.6	70446.9	76083.5	80831.1	78266.3
O00764	O00764		PDXK		42098.2	39199.7	49874.9	39208.7	39037.8	36510.6	50216.8	51931.6	57203.6	66215.8	48974.7	52260.4	46235.4	40298.8	42593.6	47774.3
O14497	O14497		ARID1A		19985.9	21734.4	20663.6	22131.4	22706.1		18482.3		21343.7		21262.2		6221.53			
O14545	O14545		TRAFD1		7514.93	8386.4	7163.98	5566.78	8811.36		7355.83		6090.93		6193.04					
O14579	O14579		COPE		120189	123170	101069	83015.9	96612.6	65447.2	53993.9	64757.2	76282.9	69320.7	76627.7	78892.6	72948.5	52684.7	38212	65112.2
O14732	O14732		IMPA2							80873.6		77365.4		92538.7		77818.9	88300.6	88187.4	79964.7	89962.8
O14737	O14737		PDCD5		70348.9	78746	69292.5	79135.2	76258.4	48800	71581.3	48516.1	71938.9	55996.4	70244.9	47361.7	45236.5	46207.6	51800.3	46322.2
O14744	O14744		PRMT5		513396	492878	533553	497927	500110	454394	516775	441077	463280	425824	472890	439653	438257	428408	392190	392973
O14745	O14745		SLC9A3R1		43748.2	41849.1	43728.2	44734.8	44236	56203.9	44509.2	57648.9	43639.3	53010.8	42470.2	56843.3	59111.3	60223.3	56895.9	52737.7
O14776	O14776		TCERG1		77519.9	80604	76775.3	84662.6	79892.5	44302.3	76270	42916.2	83873	38924.9	83789	40339.7	39809.5	41799.4	46284.5	37237.5
O14818	O14818		PSMA7		244316	258010	247777	250506	264209	223320	245227	216430	260433	220169	248935	225661	228976	243374	239684	232939
O14828	O14828		SCAMP3		41516.4	41503.8	41119.5	41706.4	37915.4	66896.3	37177.3	73941.9	37715.2	55195.2	40017.4	74084.9	77184.4	74125.3	74649.1	70648.6
O14925	O14925		TIMM23		13764.9	11037.8	24511.1	12821.5	3376.38		22706.2	5501.69	24013		25480.3		3451.41	7887.31	5790.89	8647.34
O14929	O14929		HAT1		126097	123026	133431	127589	108516	54172.1	135967	54252.1	133726	71555.9	132622	67288.3	55096.7	66614.3	42325.2	63187.9
O14950	O14950		MYL12B		128024	123597	142332	136053	117843	128198	127958	130841	117382	118295	128535	124717	136781	131975	131205	147281
O14964	O14964		HGS		24763.2	24465	23198.5	24416.5	23892.5	18107.8	24368.8	19987	25853.1	22041	25445.8	20649.5	17174.3	17978.1	19015.4	14186.3
O14975	O14975		SLC27A2							110075		115655		113881		112832	111753	113339	97696.9	116066
O14979	O14979		HNRNPDL		1.00008e+06	951310	995562	967735	1.00497e+06	533426	940638	531510	952597	540794	1.02861e+06	537945	540697	508371	540500	523632
O14980	O14980		XPO1		125895	122290	125696	132994	125735	101145	130119	99179.2	124207	99664.5	127462	101077	107777	110972	108683	106022
O15042	O15042		U2SURP		40405.1	41638.1	36891.6	42206.9	41969.3	13217.3	42478	15780.9	39649.8	16071.7	36356.6	11836.8	12444.4	10677.4	10599.6	12843.7
O15067	O15067		PFAS		69491.4	71091.4	74577.5	74961.3	70861.7	64829.9	73651.4	58870.3	73300.7	61390.9	77832.1	59944.1	66490.8	60884.6	63227.2	62426.5
O15127	O15127		SCAMP2		21023.2	21678.8	20326	21931.3	21527.4	28455.8	21579.2	26825.1	20151.4	25246.1	21467	24701.5	22630.2	27861	25509.8	22540.2
O15143	O15143		ARPC1B		42494.8	44638.1	44566.1	43343.4	45562.4	50885.9	43575.3	46570.8	44188.8	46390.3	44448.9	49499.9	48570.5	42881.6	47704.2	46141
O15144	O15144		ARPC2		23511.7	23337.5	22944.2	21855.3	24488.6	67362.3	25027.2	66230	22949.6	64367.6	22479.5	61121.8	58710.9	62939.4	64875.3	64156.4
O15145	O15145		ARPC3		7188.77		16633.6			14299.7		10385.9	7049.44	8152.25	3591.43	21129.3	17150.3	21257.4	22116.3	27915.1
O15160	O15160		POLR1C		15004.5	17875.9	4922.87	14409.9	17222.2	10560.9		10438.2	5811.48	16256.3	4605	12212.5		4050.21	5495.85	4869.8
O15173	O15173		PGRMC2							57573.3		54071.2		54145.8		61407.2	59455.5	62705.1	65225	52660.8
O15212	O15212		PFDN6		101533	102885	92514.5	103327	93834.1	55666	97340.5	52223.2	100019	57205.5	90390	55882.2	60790	53142	57870	55748.8
O15247	O15247		CLIC2		38767	35521.7	35483.9	37213.5	31249.4		34060.3		30585.8		35837					
O15260	O15260		SURF4		6708.24		15703.1			32717.1	19952.5	31692.5	17465.4	26428.7	20708.9	22174.8	51903.5	55347.6	100175	70297.2
O15294	O15294		OGT		28731.9	29662.2	28717.6	25544.9	28882.9	15750.9	20106.8	14352.3	23561.9	13507.3	21867.5	14770.6	13843.2	13179	10544.8	11762.2
O15347	O15347		HMGB3		61010.1	55375.7	54341	59547.1	52187.3	98313	53788.4	106678	55995.6	102660	55609.2	100386	106051	94652.9	105565	102330
O15355	O15355		PPM1G		153941	152709	149637	148250	147436	129758	151422	119941	152735	123724	144153	125505	129712	131948	136087	129871
O15371	O15371		EIF3D		102069	104368	96359.4	107328	101645	102950	103708	97755.2	105546	95009	105987	94752	95776.6	105288	101483	100533
O15372	O15372		EIF3H		115587	108593	109347	104905	97274.3	84862	106094	82899.7	113318	94726.9	105780	83326.9	92555.8	88459.6	92761.3	83623.8
O15427	O15427		SLC16A3							90643.1		84900.7		90726		88752.5	91697.7	93952.8	109089	95907.1
O15479	O15479		MAGEB2		59564	60461.8	53945.1	56186.9	68879.5		61985.2		67084.8		55750.5					
O15511	O15511		ARPC5		69097.5	72328.8	65420.5	77975.7	68425.8	92274.2	66902.1	82197	68894.1	88417	65980.8	83584.4	82017.3	86684.5	88835.7	89116
O43143	O43143		DHX15		189893	191002	193598	204218	203098	227854	181368	228922	181676	223565	180021	224733	207551	215265	217107	211446
O43148	O43148		RNMT		13713.1	14178.9	10950.7	13934.6	15819.2	11333.8	12077.3	8762.64	13003.1	11218.4	13802.7	9427.45	11109.7	8628.72	11120	10131.9
O43169	O43169		CYB5B		9646.79	10455.4	11072.4	10021.7	7681.55	56091.3	13190.1	60002.8	9667.51	45886.3	6474.06	51743.1	86793.8	92438.4	64663.3	71341.6
O43172	O43172		PRPF4		116490	115220	108227	121504	110976	101440	100916	108204	112916	93453.4	111371	97269.1	101745	93470.8	103371	98410.8
O43175	O43175		PHGDH		130006	129162	131122	134545	130447	601291	129735	584035	132801	601426	132616	593847	625193	623258	629724	623976
O43237	O43237		DYNC1LI2		75439.1	73859.1	57872.6	24504.9	47820.6	74435.9	14529.7	69931.5	44430.7	66027.8	81995.1	65960.6	68998.4	70302.4	69566.3	67357.8
O43242	O43242		PSMD3		893299	900960	873637	882904	875965	675913	838614	682020	859712	638644	860015	673669	683225	659329	706193	672683
O43264	O43264		ZW10		5302.39	5115.14	4403.98	3195.38	4369.18			1858.19								
O43286	O43286		B4GALT5			2767.22		2083.59		34132.8		28593.8	2043.53	33394.2		34314	32333	30596.5	38809.1	28872.4
O43290	O43290		SART1		177978	179946	160327	174940	170199	101560	173336	102370	164747	107882	181343	101361	115084	103459	119799	98811.4
O43324	O43324		EEF1E1		43347.2	47472.6	42786.5	45451.2	48130.3	41057.9	45986.2	45199.3	44780.8	39643.7	45365.4	44187.4	42713.4	41260.7	47898.7	43728
O43390	O43390		HNRNPR		332818	323494	311761	338534	308091	335329	324326	333837	325296	342483	310558	302078	353291	329423	346112	335484
O43395	O43395		PRPF3		25385.4	24289.7	27297.7	25408.6	26019.1	25254.3	22743.5	28329.1	25099.6	21431.1	24314.7	26496.2	26055.9	29271.6	31377.9	22150.4
O43396	O43396		TXNL1		112679	112164	141715	106366	99484.4	96040.3	152365	76772.7	121977	96615.7	125124	99267.6	114456	116212	120650	118171
O43399	O43399		TPD52L2		123674	124413	125196	125325	130221	213113	122615	203405	120309	204346	121338	209273	220760	213053	224456	203005
O43447	O43447		PPIH		96383.1	100680	95621.4	97992.3	102653	34392.2	100095	35508.5	102328	34505.9	103849	32655.6	35282.7	34693.2	28981.4	36860.2
O43488	O43488		AKR7A2		52822	50015.3	61255.9	53316.5	46689.3	46170	51272.6	48254.5	48983.6	32613.3	55164.1	42763.6	47425.7	46122.9	54964.6	49810.3
O43504	O43504		LAMTOR5		29826	26097.6	33655.7	31924.6	30055.8	10694.9	31109.2	7891	31780.5	6083.02	31479.4	11914.4	9604.93	6819.18	8911.74	7120.36
O43583	O43583		DENR		65786.8	67087.6	62224.3	65805.9	62057.6	55996.3	64171.3	58609.2	64019.4	58701.2	64177.9	55037.3	63836.7	61557.7	62188.3	56232.9
O43592	O43592		XPOT		18430.5	17723.1	18105.4	19546.5	15954.5	34221.2	21701	33953.7	17922.1	34409.4	19566.7	43015.8	31044.3	28774.3	27578.1	31765.4
O43598	O43598		DNPH1		105173	97490.5	86803.2	95093.6	109455	88310.3	90265.8	71467.8	89437.6	60793.6	93314.6	91356.4	77896.1	84909.1	69392.3	59692.7
O43615	O43615		TIMM44		61623.7	64174.3	64144.9	63844.9	69521.1	51134.8	59721.6	52944.7	62466.7	52596	61663.9	51812.8	53242.3	50771	49651.3	47139.9
O43617	O43617		TRAPPC3		139863	132893	146151	130127	132324	111105	144754	105722	152342	84287.1	145269	80769.1	115983	104181	115949	86372.1
O43665	O43665		RGS10		14306	16109.2	13577.8	14779.8	15588.6		14990.6		15408.2		14528					
O43670	O43670		ZNF207		167616	163310	161865	173887	164436	156041	156486	143790	158674	145912	162616	145976	152648	152839	148135	152938
O43681	O43681		GET3		35225.5	39729	43050.9	42343.5	45943.8	71500.5	38578.5	68549.9	42601.7	63777.6	43083.1	70057.9	67920.1	71194.5	68942	66241.9
O43684	O43684		BUB3		95337.5	96669	96876.6	96808	90789.3	60145.8	90394.3	59601.3	95709.5	60017	92171.5	59253.1	64754.9	58269.9	64517.8	55870.5
O43707	O43707		ACTN4		333188	322394	326299	317985	320945	291618	330340	303992	322149	315679	307722	316297	297131	296254	293461	309587
O43719	O43719		HTATSF1		24393.7	25837.7	29387.7	25089.4	28211.2	35157.3	28467.5	35792.6	24374.3	33962.6	25817.1	36282.5	40350.2	35624.3	41619.9	35619.4
O43747	O43747		AP1G1		39850	36625.9	34838.4	41760.4	41130.2	35987.9	34830.7	35578.3	35132.5	37836.5	35669.7	37396.4	25640.4	40565.1	34117.3	32290.2
O43760	O43760		SYNGR2		50657.7	63981.3	52767.2	59947.6	68243.6	16659.8	49878.6	19538.7	56999.5	18476.8	49924.9		18228.3	21073.2	18299.6	18678.5
O43765	O43765		SGTA		69534.9	64443.3	74883.7	69130.5	58474	24754.2	79177.9	34109	65980.9	23451.3	70707	24831.7	26068.7	31524.6	26894	28243.1
O43768	O43768		ENSA		109040	111020	104052	108530	119320	78356.5	102937	76899.6	114791	85592.3	114095	80453	75309.9	72976.3	70586.7	75886.4
O43776	O43776		NARS1		135308	131608	129006	122034	131082	155721	121810	162310	122550	160030	122111	147542	139760	146737	136208	147105
O43809	O43809		NUDT21		23735.8	23086	20627.4	21186.1	22818.4	65816.6	22335.8	53747.3	21376.9	64642.1	20262.5	64815	70845	71813.7	75667.6	69448.5
O43813	O43813		LANCL1		27919.1	25703.8	25172.6	25536.1	24399.4	53130.4	26262.3	53277.2		48013.8	19212.7	43259.8	55182.4	44264	50197.1	51617.6
O43847	O43847		NRDC		98185.8	104975	98226.3	103191	105975	39930.6	104468	42074.2	100782	46854	101976	44797.3	45434	44144.5	45593.3	42759
O43852	O43852		CALU		189340	180657	179093	170614	185507	211981	174517	206507	157511	199405	174044	213754	214142	187937	214165	204753
O43865	O43865		AHCYL1		122883	101992	171922	141976	138835	601512	131927	610105	142007	515691	143824	622959	575584	564301	561810	548907
O60216	O60216		RAD21		32680.6	34169.8	31864.3	32417.9	31437	23473.1	29041.4	24532.2	32041.6	23887.1	30362.7	21948.7	22779.2	22103.4	23952.9	23621.7
O60220	O60220		TIMM8A		52349.9	49572.6	44737.5	49877.9	50053.6	36806	49212.8	34848.5	50849.2	34584.6	49189.1	37151.5	33434.2	36026.5	42224.7	35821.3
O60232	O60232		ZNRD2		78447.9	71005	76803.9	70790.7	72627.4	39470.1	71063.9	36759.4	71452.2		66555.2		42790.2	27764.5	33676.9	34964
O60264	O60264		SMARCA5		70351.5	71141.1	71836.4	69074.3	67560.9	89209.3	69045	91687.8	67032.9	84628	65520.2	86212.4	90765.7	83497.4	87465.1	86906.5
O60313	O60313		OPA1		41222.4	43457.7	43296.4	43211.5	45936	61298.6	45744.5	61786.4	41155.1	45928.7	42172.8	54417.9	37868.6	53536.3	48080.6	51590.3
O60341	O60341		KDM1A		95494.3	95587.2	96400	99667.3	96975.9	20211.7	97527.5	18790.9	102382	22482.2	100090	21139	14906.1	16009.5	13668	16349.6
O60488	O60488		ACSL4		76544.1	77044.5	60997.2	75479.3	77117.5	108428	73070.6	111054	70085.3	106961	64775	102326	105142	108848	109906	106194
O60506	O60506		SYNCRIP		192623	188007	188742	192827	184334	209061	183075	216692	172727	200743	181211	205165	217650	207695	198428	209999
O60568	O60568		PLOD3					26123.8	29604.3	73800.8		71198.5		72447		76042.1	72323.8	71497.9	74953.9	64500.4
O60610	O60610		DIAPH1		79735.6	75326.7	78206.7	75134.8	71527.6	36418.9	72740.8	46539.3	75156.6	43375.3	67556.9	42713.6	40417.7	38760.3	38371.6	40931.3
O60664	O60664		PLIN3		126406	118780	114189	122136	114586	187657	113266	182116	105216	174969	99772.8	186533	178233	175031	181755	182998
O60684	O60684		KPNA6		43853.4	37354.8	43702.9	42908.1	44709.3	37938.6	41896.8	34323.4	38104.5	33971.7	39054.8	36937.6	41542	41449.7	35248.1	39462.9
O60701	O60701		UGDH		18851.4	17038.3	15538.5	21021	11863.7	70092.1	12994.4	65038	12352.3	65451.1	17343.6	67328.7	70917.9	70219.6	67862.7	68757.9
O60716	O60716		CTNND1		15247.6	17101.1	14617.5	14880.5	12248.4	8806.86	15040.6	8659.59	13024.2	6350.54	15186.5	8358.12	9613.07	8359.4	10073.6	8457.75
O60739	O60739		EIF1B		76500	63430	69012	62890.9	60503.8	51659.8	46200.1	53646.1	44040.5	44735.9	42687.5	50255.1	42945	49589.9	31618.8	47424.8
O60749	O60749		SNX2		40081.9	40997.5	39483	42150.8	40835.7	49971.6	35144.3	54591.2	39313.3	40719.8	39187.3	54206.3	51911.6	45447.1	47242.3	42281.1
O60762	O60762		DPM1		6812.49	6748.94	5298.33	5056.96	8509.68	35391.1	3596.82	40909.5	7284.8	41040.1	8370.83	40407.6	45101.7	37827.8	47054.7	39390.7
O60763	O60763		USO1		40935.8	41956.6	41566.9	42589.6	42425.6	16144.3	42138.5	18988.9	40143.3	20157.4	40599	18606.4	20494	17308.2	18463.2	17963.2
O60814	O60814		H2BC12		1.6628e+07	1.74448e+07	1.72726e+07	1.7287e+07	1.85081e+07	1.93691e+07	1.71725e+07	1.82759e+07	1.76639e+07	1.89458e+07	1.68709e+07	1.83939e+07	2.00543e+07	1.91615e+07	1.89345e+07	1.97288e+07
O60832	O60832		DKC1		126800	128925	127111	118044	126282	172836	123177	175469	118613	176692	129712	186988	183898	178718	185101	175719
O60841	O60841		EIF5B		130703	131431	132387	131506	133624	91913.1	129200	89585.1	128136	90463.4	123885	95388	93904.7	90046.2	92000.7	92633.1
O60869	O60869		EDF1		96649.1	90085	89725.8	92619.5	94317.1	123108	93751	106890	95079.6	184762	95778.8	177667	184308	191241	127955	130179
O60884	O60884		DNAJA2		264870	243610	276111	264296	269061	204779	256051	217902	259472	229723	278919	207625	205016	218605	224404	225803
O60888	O60888		CUTA		116009	117777	131746	124440	111916	89306	82984.9	101382	84318.4	73171.2	76046.9	87227.3	89967.2	69151.9	65993.1	80751.6
O60925	O60925		PFDN1		69633.5	76501.8	70763.9	72833.1	71242.7	59074.2	70156.9	57532.8	71940.8	61192.5	67751.3	55154.1	58086.2	57966.1	58180.4	59428.3
O75083	O75083		WDR1		137767	141544	135789	130191	136471	108321	127806	90353.5	140614	99245.9	135902	96522.6	105466	107041	104213	101965
O75131	O75131		CPNE3		57761.6	56202.4	57174.8	53115.8	59774.3	90996.9	57778.7	93945.3	51990.5	83605.3	58458.9	82418.5	99479.9	85913.7	100314	90131.2
O75147	O75147		OBSL1									347400	755581		700121			407463		428575
O75153	O75153		CLUH		274211	284815	276229	282424	254686	145927	266133	140512	276507	133868	267519	132601	132488	170027	155692	131913
O75179	O75179		ANKRD17		9287.16	10197.8	8196.8	9188.45	9240.74		8626.18		9256.86		8943.17			10373.2		11644.5
O75190	O75190		DNAJB6		84504.9	85424.4	85583.4	85195	78469.3	47553.8	85087	42297.2	84862	47774.2	80020.3	42564.3	47311.2		44112.1	41162.8
O75223	O75223		GGCT		27421.3	26398.1	26981.2	24583.2	26365.7	32294	28103.7	34132.3	25265.1	34022.3	28991.3	32215	34426.7	32832.9	33859.7	36718.7
O75306	O75306		NDUFS2		30021.4	30401.3	26040.5	33210	25390.8	27333.4	22724	31368.9	20759	30613.8	18931.6	46889.4	35800.1	25488.2	33022.5	26379.3
O75312	O75312		ZPR1		64959.4	60622.7	61619.2	64547.4	71664.5		71020.4	8938.4	63932.2	27907.7	71921.2		9413.35	23005.2		22076.9
O75340	O75340		PDCD6		55982.3	59260.9	60403.3	59933	57257	117075	62149.6	108404	62263	113143	61045	117919	109040	107823	116229	114175
O75347	O75347		TBCA		306693	286519	304612	289087	267498	144905	334076	155200	297032	134465	312255	145805	162969	144074	145086	173226
O75348	O75348		ATP6V1G1		27206.2	24384.5	28281.9	28162.4	21054.4	11239.8	28263.8	12172	26179.6	9519.79	27705.8	8849.1	11184.3	8473.12	8136.37	8989.98
O75352	O75352		MPDU1							36004.7		28526.1		26456.8	1179.83	32891	37818.8	33524.5	33636.2	30156.5
O75366	O75366		AVIL				274140													
O75367	O75367		MACROH2A1		153275	149008	154642	148068	157459	400383	160511	429332	170888	404464	156883	401795	425583	417377	421255	430357
